bairro,rpa,quantidade,mediaAltura,mediaDap,mediaCopa,topEspecies,portes,area,densidade
"Santo Amaro","1",3748,5.07,9.67,3.95,"[{""nome"":""Sapoti-do-mangue"",""quantidade"":1251},{""nome"":""Pitanga"",""quantidade"":594},{""nome"":""Acácia Amarela"",""quantidade"":556},{""nome"":""Ficus benjamina"",""quantidade"":412},{""nome"":""Pau-Ferro"",""quantidade"":256}]","{""MP"":1424,""GP"":1597,""PP"":527}",1.00,3748000000.00
"Boa Viagem","6",1359,6.35,4,5.63,"[{""nome"":""Felício"",""quantidade"":285},{""nome"":""Ficus"",""quantidade"":251},{""nome"":""Acácia Amarela"",""quantidade"":231},{""nome"":""Palmeira-imperial"",""quantidade"":130},{""nome"":""Craibeira"",""quantidade"":75}]","{""MP"":930,""GP"":423,""PP"":6}",1.00,1359000000.00
"Graças","3",1341,10.2,1.7,4.7,"[{""nome"":""Sapoti-do-mangue"",""quantidade"":521},{""nome"":""Acácia Amarela"",""quantidade"":461},{""nome"":""Acerola"",""quantidade"":117},{""nome"":""Felício"",""quantidade"":67},{""nome"":""Craibeira"",""quantidade"":41}]","{""MP"":533,""GP"":619,""PP"":142}",1.00,1341000000.00
"Boa Vista","1",1128,12.32,23.58,5.4,"[{""nome"":""Acácia Amarela"",""quantidade"":703},{""nome"":""Pau-Ferro"",""quantidade"":178},{""nome"":""Sapoti-do-mangue"",""quantidade"":114},{""nome"":""Pau brasil"",""quantidade"":85},{""nome"":""Oitizeiro"",""quantidade"":38}]","{""GP"":599,""MP"":417,""PP"":97}",1.00,1128000000.00
"Recife","1",858,8.19,31.19,5.45,"[{""nome"":""Oitizeiro"",""quantidade"":276},{""nome"":""Sapoti-do-mangue"",""quantidade"":99},{""nome"":""Pau-Ferro"",""quantidade"":97},{""nome"":""Palmeira-imperial"",""quantidade"":93},{""nome"":""Acácia Amarela"",""quantidade"":62}]","{""GP"":525,""MP"":227,""PP"":45}",1.00,858000000.00
"Ibura","6",839,2.56,0.29,5.67,"[{""nome"":""Ficus"",""quantidade"":839}]","{}",1.00,839000000.00
"Espinheiro","3",808,7.64,0.44,6.04,"[{""nome"":""Felício"",""quantidade"":441},{""nome"":""Acácia Amarela"",""quantidade"":199},{""nome"":""Sapoti-do-mangue"",""quantidade"":120},{""nome"":""Acerola"",""quantidade"":42},{""nome"":""Ficus"",""quantidade"":4}]","{""MP"":222,""GP"":552,""PP"":26}",1.00,808000000.00
"Derby","3",593,6.63,1.02,5.05,"[{""nome"":""Sapoti-do-mangue"",""quantidade"":189},{""nome"":""Cajazeiro"",""quantidade"":152},{""nome"":""Acácia Amarela"",""quantidade"":115},{""nome"":""Craibeira"",""quantidade"":62},{""nome"":""Acerola"",""quantidade"":39}]","{""PP"":54,""MP"":230,""GP"":301}",1.00,593000000.00
"Ipsep","6",524,2.63,0.42,5.59,"[{""nome"":""Ficus"",""quantidade"":514},{""nome"":""Jasmim buquê de noiva"",""quantidade"":3},{""nome"":""Jasmim buque de noiva"",""quantidade"":2},{""nome"":""Paudarquinho"",""quantidade"":1},{""nome"":""Sombreiro"",""quantidade"":1}]","{""GP"":31,""PP"":1,""MP"":2}",1.00,524000000.00
"Pina","6",351,6.22,20.49,3.71,"[{""nome"":""Sapoti-do-mangue"",""quantidade"":58},{""nome"":""Acácia Amarela"",""quantidade"":45},{""nome"":""Oitizeiro"",""quantidade"":44},{""nome"":""Ipeamarelo"",""quantidade"":31},{""nome"":""Palmeira imperial"",""quantidade"":24}]","{""MP"":112,""GP"":230,""PP"":9}",1.00,351000000.00
