porte_esp,rpa,nome_popul,tipologia,copa,altura,cap,dap,bairro_nome,confianca_classificacao,lng,lat
GP,3,Sibipiruna,UC,5.2,5.0,30.0,9.772132089878758,Macaxeira,0.5757335023533122,-3888494.4738224167,-895271.9198918891
MP,1,Ipê-rosa,CC,3.0000000000000004,1.8,11.393721600296486,3.626734226761228,Santo Amaro,,-3883312.6848414224,-898253.6563074124
MP,4,Pau-Ferro,QU,1.0,3.2,1.0,0.31830989,Iputinga,0.6381764434578411,-3889349.3350396827,-898736.8824214697
GP,1,Ipê-roxo,CC,3.0000000000000004,2.0,11.14508243295585,3.547589921772499,Santo Amaro,,-3883292.913119165,-898281.2491644566
MP,1,Sapoti-do-mangue,CL,2.0,1.8,1.0,0.31830989,Santo Amaro,0.30599604884472215,-3883253.7079201774,-898259.0336745369
PP,1,Ipê-rosa,CC,2.999999999999999,2.6,11.468411595065174,3.6505087904746003,Santo Amaro,,-3883294.852813143,-898245.7133185188
MP,4,Pau-Ferro,QU,1.0,3.3,1.0,0.31830989,Iputinga,0.6485407776744786,-3889359.0880150194,-898737.2393100816
MP,4,Ipeamarelo,CL,1.0,2.2,1.0,0.31830989,Iputinga,0.6201801719043487,-3889269.0506741065,-898733.9665608727
GP,1,Sapoti-do-mangue,CL,1.7976480851784542,2.2,1.0,0.31830989,Santo Amaro,0.32580699511159045,-3882609.2153103147,-899768.6732979736
GP,3,Sibipiruna,UC,7.000000000000001,8.0,33.0,10.441062125300762,Macaxeira,0.25148396322687194,-3888520.3824011018,-895285.5871475001
MP,4,Ipeamarelo,CL,1.0,2.2,1.0,0.31830989,Iputinga,0.6201801719043487,-3889299.1289919415,-898735.1862316594
MP,4,Ipeamarelo,CL,1.0,2.1,1.0,0.31830989,Iputinga,0.6193689648470263,-3889261.0368248634,-898733.6702726993
MP,4,Carolina,QU,1.0,4.2,1.0,0.31830989,Iputinga,0.6472547530113821,-3889372.042888096,-898736.7741097299
