lat,lng
-899349.3307555002,-3883296.4931573267
-899022.0491729548,-3882195.3635778544
-898437.2748242395,-3883200.8973023123
-899318.615546958,-3883782.049707051
-898767.7095961593,-3882938.972444113
-899597.2181089545,-3882899.0907294545
-899847.7193224868,-3883444.183454357
-898992.2355630539,-3883118.850188296
-899468.6919884303,-3883202.12126215
-899362.1037275012,-3882725.8442290905
-899413.2019800624,-3882781.541037733
-898881.429738718,-3883217.9211008674
-899015.7121309728,-3883013.074107114
-898615.9209437392,-3882956.0226034927
-899024.6909613466,-3883143.8135624686
-898761.7996734501,-3882934.6905418322
-899159.7135037967,-3882586.5735366503
-899748.4188879125,-3883377.083131543
-898770.6457920416,-3883368.0735906106
-898706.7916612137,-3882220.59839132
-899357.5152689243,-3883386.104437496
-898784.9865096397,-3883347.521858825
-899175.789619945,-3883019.0234186486
-898661.3215969998,-3883193.294317875
-899645.0388474026,-3883312.9937629215
-899459.5816645317,-3883194.0014075255
-898825.2373928053,-3882774.0697332355
-898567.5005901527,-3883111.0767700206
-899126.5072686028,-3882414.598937383
-899123.3546273075,-3883573.265725829
-900388.3071891067,-3882089.9871711787
-906614.0907144358,-3884259.303703977
-905972.0286421565,-3883881.745121495
-907058.7625635228,-3884517.518844737
-906374.2065434057,-3884108.6513743964
-906770.1012354471,-3884362.4559657252
-900904.5948314803,-3882160.3960974263
-906742.6541066368,-3884337.783915556
-905219.032346871,-3883538.138960749
-899580.456161005,-3882029.4234661334
-905934.9220408357,-3883874.880356041
-899562.7084206551,-3882056.8641893654
-899719.9653298196,-3881973.1951638027
-906937.2348217859,-3884459.489361591
-899708.6620765392,-3882050.1282519554
-907082.8054543429,-3884530.366650972
-899512.3943850737,-3881996.3157243333
-907093.8547902178,-3884539.0988412458
-906623.4611850181,-3884258.9326710794
-906371.9576652925,-3884106.610517784
-906826.0518497307,-3884390.475192914
-899695.4110076312,-3882056.689866584
-905155.6664974857,-3883512.1951473244
-905740.581190939,-3883749.46041556
-905541.181322116,-3883654.2822536123
-905780.1239657047,-3883770.796631113
-899692.3529272173,-3882033.7028211416
-906584.1051532307,-3884257.077290599
-906391.2607870382,-3884114.7739155143
-906130.950337333,-3883941.3010215843
-906932.2304717208,-3884456.513906803
-906018.1309499309,-3883899.556231764
-905176.3042408456,-3883506.227323482
-899658.6151406835,-3881951.7742903405
-900208.0906334351,-3881793.543197227
-906661.8802750683,-3884290.4731695773
-899415.131797851,-3881963.1104942905
-906890.2895554956,-3884430.915794011
-906608.6558455792,-3884255.5930974926
-905204.6022118265,-3883501.9601429887
-906994.3830014329,-3884492.5397179625
-905433.7981137318,-3883628.8642727262
-900217.3056540019,-3881796.1562586054
-900683.2560927575,-3881955.6314033554
-907004.8422078764,-3884501.052508641
-900200.6464760343,-3881913.961395347
-900619.3322257724,-3882099.487462126
-899701.278663475,-3882037.5020608753
-900500.4219181747,-3882088.044695059
-907017.586226189,-3884504.2066142624
-900587.5878220637,-3881994.1216284106
-900042.7780001895,-3881987.963381467
-900435.9561647765,-3882105.265736997
-900484.2865786664,-3881874.593103251
-900321.322358343,-3881805.2517703585
-899505.884273053,-3882049.9574620803
-906937.0008707278,-3884465.115703553
-900671.7957452213,-3881920.085524728
-900376.1649480849,-3882073.5474980064
-899703.0837182137,-3882031.6763678943
-899410.4177712427,-3881951.632644566
-900254.9912662302,-3881922.4474955127
-905999.0153778018,-3883903.452431319
-906165.4333934723,-3883976.7376881577
-900635.4809015824,-3881902.655837545
-900678.1158664348,-3881956.8236893895
-900322.0066618155,-3882065.556919881
-900444.8846701138,-3881908.889349172
-900271.9141115409,-3881910.8108229646
-900591.8997613164,-3881957.0681388103
-900440.7979294456,-3882122.1876676735
-899367.5309447225,-3881991.6986657623
-906993.9722921388,-3884494.744408398
-899708.8794533294,-3881996.917495962
-905494.8921578838,-3883677.4738118015
-899769.392987908,-3883034.5406452254
-900607.6573870371,-3882033.990147732
-900695.1745569876,-3881953.56379755
-903757.1158293413,-3883027.924632928
-900536.3113678579,-3881907.233952627
-900305.7801876133,-3881831.325364756
-899766.6384261994,-3883029.5591306984
-899755.4386310374,-3882989.6529903347
-899821.3557769776,-3883062.8622209644
-900396.8533272699,-3882109.7368335347
-905979.1501512753,-3883878.219934447
-900265.580841298,-3883917.508632328
-900226.4325224526,-3882026.524697735
-904019.0992509058,-3883046.8488715864
-902582.0360431729,-3886083.392303231
-900375.8525426728,-3881810.584037418
-900574.989376007,-3881914.962991875
-905833.6055241262,-3889395.4390786197
-898540.5355940749,-3884643.871950833
-895800.1698659128,-3882423.386220724
-900600.5599222073,-3882064.1803427
-899652.3039066119,-3882810.7681941916
-897347.980019277,-3889711.5691359774
-907545.9902972294,-3888794.0406586067
-899811.1420574134,-3882807.3021921036
-897965.842279169,-3884420.056412946
-898244.1245709196,-3884465.7639223207
-897904.1887624307,-3885417.141047862
-897310.5412091686,-3889720.7974326033
-904969.5496167291,-3886081.045167272
-906994.0689061398,-3884488.210404135
-905329.788392712,-3883584.336482846
-906071.8253331785,-3888000.5245752335
-907004.8422078764,-3884501.052508641
-897962.9101252209,-3883971.9737667646
-900297.49978132,-3881991.204070048
-903502.9589614333,-3888005.5242081867
-900727.7688392969,-3883388.0625931984
-899653.2145730855,-3882811.57391542
-906346.8448725189,-3884094.736345934
-907590.359237791,-3888796.4962498844
-907082.0422188551,-3889610.0458832528
-896398.7115340335,-3882687.881386585
-899994.2134838155,-3883918.8306216965
-902751.333103621,-3885888.4700642736
-897986.7785495818,-3883469.889147028
-898889.2417303863,-3884002.534128938
-905765.2945679392,-3884103.7681544437
-899629.782941448,-3882025.4028727384
-899912.4131241748,-3884829.891716908
-903878.3625663698,-3883048.333212339
-903778.8540813188,-3883031.264158758
-899407.2797359934,-3881945.4930735263
-906319.2957754111,-3884083.0478424616
-900528.4664107924,-3883608.895513187
-900089.147981767,-3884679.167708366
-899801.5008309716,-3882802.6881752773
-898257.6214326911,-3885058.5407834356
-898261.5931167476,-3883296.379050449
-899554.6413525754,-3882963.1429681866
-898525.173388736,-3885225.3719526874
-900367.7651275859,-3881816.9949898473
-899706.7692919291,-3882002.075751403
-895283.1485883017,-3888630.2264474966
-895709.2149882551,-3882392.767164446
-904017.7761047235,-3883043.097378107
-898347.5794661203,-3885165.987600905
-899294.5151943323,-3884591.7676652954
-899769.16437964,-3883012.699823328
-907246.0769831268,-3884617.7153505147
-897564.6122315591,-3889657.00208575
-898737.2393100816,-3889359.0880150194
-907117.189427502,-3884550.6059276774
